municipality,county,population,Allow Consumption Site,area,nhcs,notes,type,x1,x2,labels,zip,,AD,,
West Winfield,Herkimer,855,No,2,3,Decision as of: 11/10/2021,Town,,,1,,,No,,
Winfield,Herkimer,"2,073",Yes,61,3,Correspondence with Town,Town,,,1,,,Yes,,
Adams ,Herkimer,#FIELD!,Yes,#FIELD!,4,Correspondence with Town,Town,,,0,,,Yes,,
Adams ,Herkimer,#FIELD!,Yes,#FIELD!,4,Decision as of: 12/14/2021,Town,,,0,,,Yes,,
Alexandria ,Herkimer,#FIELD!,Yes,#FIELD!,4,Correspondence with Village,Village,,,0,,,Yes,,
Alexandria Bay,Herkimer,"1,044",Yes,4,4,"Decision as of: 10/13/2021—""Members decided to not opt out.""",Town,,,0,,,Yes,,
Antwerp,Jefferson,"1,792",No,281,4,Decision as of: 11/4/2021,Town,,,0,,,No,,
Antwerp,Jefferson,"1,792",No,281,4,Decision as of: 11/15/2021,Village,,,1,,,No,,
Black River,Jefferson,"1,264",No,5,4,Decision as of: 10/20/2021,Town,,,0,,,No,,
Brownville,Jefferson,"6,077",No,171,4,Decision as of: 7/13/2021,Village,,,0,,,No,,
Brownville ,Jefferson,#FIELD!,No,#FIELD!,4,Correspondence with Town,Town,,,0,,,No,,
Cape Vincent,Jefferson,705,Yes ,2,4,Decision as of: 8/10/2021,Village,,,0,,,Yes,,
Cape Vincent,Jefferson,705,No,2,4,Decision as of: 9/13/2021,Village,,,0,,,No,,
Carthage,Jefferson,"3,236",No,7,4,Decision as of: 11/3/2021,Town,,,1,,,No,,
Champion,Jefferson,"4,378",No,117,4,Decision as of: 9/14/2021,Village,,,0,,,No,,
Chaumont,Jefferson,589,No,3,4,Decision as of: 8/5/2021,Town,,,0,,,No,,
Clayton ,Jefferson,#FIELD!,No,#FIELD!,4,Decision as of: 9/28/2021,Village,,,0,,,No,,
Clayton ,Jefferson,#FIELD!,Yes,#FIELD!,4,Decision as of: 9/20/2021,Village,,,0,,,Yes,,
Deferiet,Jefferson,287,No,2,4,Decision as of: 9/7/2021,Town,,,0,,,No,,
Dexter,Jefferson,"1,015",No,1,4,Decision as of: 10/19/2021,Village,,,0,,,No,,
Ellisburg,Jefferson,"3,389",No,224,4,Decision as of: 8/11/2021,Town,,,0,,,No,,
Ellisburg ,Jefferson,#FIELD!,No,#FIELD!,4,Decision as of: 8/23/2021,Village,,,1,,,No,,
Evans Mills,Jefferson,567,No,2,4,Decision as of: 8/11/2021,Village,,,1,,,No,,
Glen Park,Jefferson,483,No,2,4,Decision as of: 9/21/2021,Village,,,1,,,No,,
Henderson,Jefferson,"1,325",No,137,4,Decision as of: 9/2/2021,Town,,,0,,,No,,
Hounsfield,Jefferson,"3,445",Yes,312,4,Correspondence with Village,Village,,,0,,,Yes,,
Le Ray,Jefferson,"25,574",Yes,192,4,Decision as of: 8/12/2021,Village,,,0,,,Yes,,
Lorraine,Jefferson,"1,003",Yes,101,4,Correspondence with Village,Village,,,1,,,Yes,,
Lyme,Jefferson,"2,105",No,277,4,Decision as of: 12/14/2021,Town,,,0,,,No,,
Mannsville,Jefferson,343,No,2,4,Decision as of: 9/8/2021,Town,,,1,,,No,,
Orleans,Jefferson,"2,731",No,202,4,Decision as of 9/9/2021 ,Town,,,1,,,No,,
Pamelia,Jefferson,"2,947",Yes,92,4,Correspondence with Town,Town,,,1,,,Yes,,
Philadelphia,Jefferson,"1,146",No,2,4,Decision as of: 9/8/2021; Referendum affirmed opt out: 11/2/2021 ,Town,,,0,,,No,,
Philadelphia,Jefferson,"1,146",Yes,2,4,Correspondence with Village,Village,,,0,,,Yes,,
Rodman,Jefferson,"1,145",Yes,110,4,Correspondence with Town,Town,,,0,,,Yes,,
Rutland ,Jefferson,#FIELD!,*,#FIELD!,4,Correspondence with Town,Town,,,1,,,Yes,,
Sackets Harbor,Jefferson,"1,351",No,6,4,Correspondence with Town,Town,,,1,,,No,,
Theresa ,Jefferson,#FIELD!,No,#FIELD!,4,Decision as of: 9/13/2021,Village,,,0,,,No,,
Theresa ,Jefferson,#FIELD!,No,#FIELD!,4,Decision as of: 8/11/2021,Town,,,1,,,No,,
Watertown ,Jefferson,#FIELD!,Yes,#FIELD!,4,Correspondence with Town,Town,,,0,,,Yes,,
Watertown,Jefferson,"1,515",Yes,3,4,Correspondence with Village,Village,,,0,,,Yes,,
West Carthage,Jefferson,"1,964",No,3,4,Decision as of: 8/11/2021,Town,,,1,,,No,,
Wilna,Jefferson,"5,979",Yes,206,4,"Decision as of: 7/13/2021—""The board agreed and chose to do nothing in regards to opting out of permitting them in the Village.""",Village,,,0,,,Yes,,
Worth,Jefferson,225,No,112,4,Decision as of: 7/19/2021; Subsequent attempt to force voter referendum failed over ineligble signatures. ,City,,,0,,,No,,
Castorland,Jefferson,346,No,1,6,Decision as of: 9/9/2021,Town,,,0,,,No,,
Constableville,Jefferson,237,Yes,3,6,Correspondence with Village,Village,,,0,,,Yes,,
Copenhagen,Jefferson,779,No,3,6,Decision as of: 12/13/2021,Town,,,0,,,No,,
Croghan,Jefferson,"3,033",No,471,6,Decision as of: 10/14/2021,Town,,,0,,,No,,
Croghan,Lewis,"3,033",No,471,6,Decision as of: 8/10/2021,Village,,,0,,,No,,
Denmark,Lewis,"2,844",No,132,6,Decision as of: 9/7/2021,Village,,,0,,,No,,
Diana,Lewis,"1,704",No,365,6,Decision as of: 10/13/2021,Village,,,0,,,No,,
Greig,Lewis,"1,188",No,244,6,Decision as of: 8/16/2021,Town,,,0,,,No,,
Harrisburg,Lewis,435,No,103,6,Decision as of: 10/13/21,Village,,,0,,,No,,
Lewis ,Lewis,#FIELD!,No,#FIELD!,6,Decision as of: 7/19/2021,Town,,,0,,,No,,
Leyden,Lewis,"1,772",No,87,6,Decision as of: 12/14/2021,Town,,,1,,,No,,
Lowville,Lewis,"4,915",No,99,6,Decision as of: 10/20/2021,Town,,,0,,,No,,
Lowville ,Lewis,#FIELD!,No,#FIELD!,6,Decision as of: 8/17/2021,Town,,,0,,,No,,
Lyons Falls,Lewis,552,No,3,6,Correspondence with Town,Town,,,1,,,No,,
Lyonsdale,Lewis,"1,209",Yes,182,6,Watertown Daily Times reporting,Town,,,0,,,Yes,,
Martinsburg,Lewis,"1,429",No,197,6,Decision as of: 6/17/2021,Town,,,0,,,No,,
Montague,Lewis,76,No,169,6,Decision as of: 7/14/2021,Village,,,0,,,No,,
New Bremen,Lewis,"2,650",Yes,144,6,Correspondence with Village,Village,,,0,,,Yes,,
Osceola ,Lewis,#FIELD!,*,#FIELD!,6, ,Town,,,0,,,*,,
Pinckney,Lewis,318,No,106,6,Decision as of: 8/18/2021,Town,,,0,,,No,,
Port Leyden,Lewis,657,No,2,6,Decision as of: 12/21/2021,Town,,,0,,,No,,
Turin,Lewis,746,No,81,6,Decision as of: 8/9/2021,Town,,,0,,,No,,
Turo,Lewis,#FIELD!,No,#FIELD!,6,Decision as of: 9/8/2021,Town,,,0,,,No,,
Watson,Lewis,"1,808",No,300,6,Decision as of: 7/19/2021,Town,,,0,,,No,,
West Turin,Lewis,"1,490",No,265,6,Decision as of: 12/28/2021,Village ,,,0,,,No,,
Avon,Lewis,"6,828",No,107,2,Decision as of: 9/13/2021,Town,,,1,,,No,,
Avon,Lewis,"6,828",No,107,2,Decision as of: 12/21/2021,Village,,,1,,,No,,
Caledonia,Lewis,"4,118",No,114,2,Decision as of: 9/8/2021,Town,,,1,,,No,,
Caledonia,Lewis,"2,105",No,5,2,Correspondence with Town,Town,,,1,,,No,,
Conesus,Livingston,"2,377",Yes,93,2,Corespondence with Town,Town,,,0,,,Yes,,
Dansville,Livingston,"4,433",Yes,6,2,Correspondence with Village,Village,,,1,,,Yes,,
Geneseo,Livingston,"10,691",Yes,117,2,Correspondence with Town,Town,,,0,,,Yes,,
Geneseo,Livingston,"10,691",Yes,117,2,"Decision as of: 8/3/2021—""Each board member was in agreement that the Village will not opt out of local retail sales.""",Village,,,0,,,Yes,,
Groveland,Livingston,"3,361",No,103,2,Decision as of: 12/21/2021,Town,,,1,,,No,,
Leicester,Livingston,"2,104",Yes,88,2,2/15/2022 Referendum overturned 12/21/2021 opt-out,Village,,,1,,,Yes,,
Leicester,Livingston,"2,104",No,88,2,Decision as of: 12/9/2021,Town,,,1,,,No,,
Zima,Livingston,#FIELD!,No,53,2,Decision as of: 12/6/2021,Village,,,1,,,No,,
Lima,Livingston,"4,175",Yes,83,2,Correspondence with Town,Town,,,1,,,Yes,,
Livonia,Livingston,"7,620",Yes,106,2,Correspondence with Town,Town,,,1,,,Yes,,
Livonia ,Livingston,#FIELD!,Yes,#FIELD!,2,Correspondence with Village,Village,,,1,,,Yes,,
Mount Morris,Livingston,"4,324",Yes,130,2,Correspondence with Town,Town,,,1,,,Yes,,
Mount Morris,Livingston,"4,324",Yes,130,2,Correspondence with Village,Village,,,1,,,Yes,,
North Dansville,Livingston,"5,321",Yes,25,2,Correspondence with Town,Town,,,0,,,Yes,,
Nunda,Livingston,"2,966",Yes,96,2,Correspondence with Village,Village,,,1,,,Yes,,
Nunda,Livingston,"2,966",Yes,96,2,Correspondence with Town,Town,,,0,,,Yes,,
Ossian,Livingston,741,Yes,103,2,Correspondence with Village,Village,,,0,,,Yes,,
Portage,Livingston,842,No,69,2,Livingston County News reporting,Town,,,1,,,No,,
Sparta,Livingston,"1,571",Yes,72,2,Correspondence with Town,Town,,,1,,,Yes,,
Springwater,Livingston,"2,261",No,138,2,Decision as of: 7/12/2021; Referendum affirmed opt out: 9/7/2021,Village,,,0,,,No,,
West Sparta,Livingston,"1,240",No,87,2,Decision as of: 12/14/2021,Town,,,1,,,No,,
Toronto,Livingston,"2,794,356",Yes,630,2,Correspondence with Town,Town,,,1,,,Yes,,
Brookfield,Livingston,"2,412",Yes,202,3,Correspondence with Town,Town,,,0,,,Yes,,
Canastota,Livingston,"4,556",*,9,3,,Town,,,0,,,*,,
Cazenovia,Livingston,"6,969",Yes,134,3,Correspondence with Town,Town,,,0,,,Yes,,
Cazenovia,Livingston,"2,841",Yes,4,3,"Decision as of: 10/27/2021—""The decision of the Board is not to take any action at this time.""",Town,,,0,,,Yes,,
Chittenango,Madison,"4,896",No,6,3,Decision as of: 11/9/2021,Town,,,0,,,No,,
DeRuyter,Madison,"1,530",No,81,3,Decision as of: 11/1/2021,Village,,,0,,,No,,
DeRuyter,Madison,"1,530",No,81,3,Decision as of: 10/4/2021,Town,,,0,,,No,,
Eaton,Madison,"4,724",No,118,3,Decision as of: 7/1/2021,Village,,,1,,,No,,
Fenner,Madison,"1,686",No,81,3,Decision as of: 11/18/2021,Village,,,0,,,No,,
Georgetown,Madison,816,No,104,3,Decision as of: 12/9/2021,Town,,,0,,,No,,
Hamilton ,Madison,#FIELD!,No,#FIELD!,3,Decision as of: 11/17/2021,Village,,,1,,,No,,
Hamilton ,Madison,#FIELD!,No,#FIELD!,3,Decision as of: 10/12/2021 (on-site consumption),Town,,,1,,,Yes,,
Lebanon,Madison,"1,299",No,113,3,Decision as of: 10/13/2021,Town,,,1,,,No,,
Lenox,Madison,"8,861",No,94,3,Decision as of: 11/16/2021,Town,,,0,,,No,,
Lincoln,Madison,"1,958",Yes,65,3,Decision as of: 9/9/2021,Town,,,1,,,Yes,,
Madison,Madison,"2,925",No,107,3,Decision as of: 11/2/2021,Village,,,1,,,Yes,,
Madison,Madison,"2,925",Yes,107,3,Correspondence with Town,Town,,,1,,,Yes,,
Morrisville,Madison,"1,732",No,3,3,Decision as of: 10/11/2021,Town,,,1,,,No,,
Munnsville,Madison,461,Yes,2,3,"Decision as of: 9/8/2021—""The consensus is yes to stay in.""",Town,,,0,,,Yes,,
Nelson,Madison,"1,943",Yes,114,3,Correspondence with Town,Town,,,0,,,Yes,,
Oneida,Madison,"10,846",Yes,57,3,Correspondence with Village,Village,,,0,,,Yes,,
Smithfield,Madison,"1,258",No,63,3,Decision as of: 11/4/2021,Village,,,1,,,Yes,,
Stockbridge,Madison,"2,005",No,82,3,Decision as of: 10/18/2021,Village,,,1,,,No,,
Sullivan,Madison,"15,149",No,191,3,Decision as of: 11/29/2021,Town,,,0,,,No,,
Wampsville,Madison,597,No,3,3,Decision as of: 11/16/2021 (on-site consumption only) ,City,,,0,,,No,,
Brighton,Madison,"37,137",No,40,1,Decision as of: 10/12/2021,Town,,,1,,,Yes,,
Brockport,Madison,"7,104",Yes,6,1,Correspondence with Town,Town,,,1,,,Yes,,
Chili,Madison,"28,540",No,103,1,Decision as of: 11/3/2021,Town,,,0,,,No,,
Churchville,Madison,"2,081",No,3,1,Decision as of: 12/21/2021,Village,,,0,,,No,,
Clarkson,Monroe,"7,105",Yes,86,1,Correspondence with Town,Town,,,0,,,Yes,,
East Rochester,Monroe,"6,533",Yes,3,1,Decision as of: 12/6/2021,Village,,,1,,,Yes,,
East Rochester,Monroe,"6,533",No,3,1,Decision as of: 12/15/2021,Town,,,1,,,No,,
Fairport,Monroe,"5,336",No,4,1,Decision as of: 12/15/2021,Village,,,1,,,No,,
Gates,Monroe,"29,167",No,40,1,Decision as of: 10/12/2021,Town,,,0,,,No,,
Greece,Monroe,"95,809",Yes,133,1,Correspondence with Town (coterminous with Village),Town,,,0,,,Yes,,
Hamlin,Monroe,"8,984",Yes,115,1,Correspondence with Village (coterminous with Town),Village,,,0,,,Yes,,
Henrietta,Monroe,"47,096",Yes,92,1,Correspondence with Village,Village,,,1,,,Yes,,
Hilton ,Monroe,#FIELD!,No,#FIELD!,1,Decision as of: 11/3/2021,Town,,,0,,,No,,
Honeoye Falls,Monroe,"2,706",No,7,1,Decision as of: 12/16/2021,Town,,,1,,,No,,
Irondequoit,Monroe,"49,927",No,44,1,Decision as of: 11/8/2021,Town,,,1,,,No,,
Mendon,Monroe,"9,095",No,104,1,Decision as of: 12/22/2021,Town,,,0,,,Yes,,
Ogden,Monroe,"20,119",No,95,1,Decision as of: 12/21/2021,Village,,,0,,,No,,
Parma ,Monroe,#FIELD!,Yes,#FIELD!,1,Correspondence with Village,Village,,,0,,,Yes,,
Penfield,Monroe,"37,281",Yes,98,1,Public Hearing held: 11/9/2021,Town,,,1,,,Yes,,
Perinton,Monroe,"46,902",No,90,1,Decision as of: 12/13/2021,Town,,,0,,,No,,
Pittsford,Monroe,"30,617",No,61,1,Decision as of: 12/8/2021,Town,,,0,,,No,,
Pittsford,Monroe,"30,617",No,61,1,Decision as of: 12/7/2021,Town,,,0,,,No,,
Riga,Monroe,"5,640",No,91,1,Decision as of: 10/27/2021,Town,,,0,,,Yes,,
Rochester,Monroe,"211,328",No,96,1,Decision as of: 12/22/2021,Town,,,1,,,No,,
Rush,Monroe,"3,490",No,80,1,Decision as of: 12/8/2021,Town,,,1,,,No,,
Scottsville,Monroe,"1,919",No,3,1,Decision as of: 12/14/2021; Referendum affirmed to opt out: 2/8/2022,Village,,,0,,,No,,
Spencerport,Monroe,"3,641",No,4,1,Decision as of: 11/30/2021,Town,,,1,,,No,,
Sweden,Monroe,"14,087",Yes,88,1,WROC reporting,City,,,0,,,Yes,,
Webster,Monroe,"44,743",Yes,92,1,Correspondence with Town,Town,,,0,,,Yes,,
Webster,Monroe,"44,743",No,92,1,Decision as of: 12/14/2021,Village,,,0,,,No,,
Wheatland,Monroe,"4,690",Yes,79,1,Correspondence with Village,Village,,,1,,,Yes,,
Ames,Monroe,140,No,0,5,Decision as of: 11/9/2021—Effort to pass a permissive referendum failed,Town,,,1,,,No,,
Amsterdam ,Monroe,#FIELD!,No,#FIELD!,5,Decision as of: 12/16/2021,Town,,,1,,,No,,
Amsterdam,Monroe,"18,219",No,16,5,Decision as of 12/9/21,Village,,,1,,,No,,
Canajoharie,Monroe,"3,613",Yes,112,5,Decision as of: 12/16/2021,Town,,,1,,,Yes,,
Canajoharie ,Montgomery,#FIELD!,Yes,#FIELD!,5,Correspondence with Village,Village,,,1,,,Yes,,
Charleston,Montgomery,"1,333",Yes,111,5,Correspondence with City,City,,,1,,,Yes,,
Florida,Montgomery,"2,719",No,133,5,Decision as of: 12/15/2021,Town,,,1,,,Yes,,
Jondal,Montgomery,397,Yes,1,5,Correspondence with Town,Town,,,0,,,Yes,,
Fort Johnson,Montgomery,468,Yes,2,5,Correspondence with Village,Village,,,0,,,Yes,,
Fort Plain,Montgomery,"2,236",Yes,4,5,Correspondence with Town,Town,,,0,,,Yes,,
Fultonville,Montgomery,784,Yes,1,5,Correspondence with Town,Town,,,0,,,Yes,,
Glen,Montgomery,"2,445",No,102,5,Decision as of: 10/6/2021,Village,,,0,,,No,,
Hagaman,Montgomery,"1,444",No,4,5,Decision as of: 12/16/2021,Village,,,1,,,No,,
Minden,Montgomery,"4,166",No,133,5,Decision as of: 12/14/2021,Village,,,1,,,No,,
Mohawk,Montgomery,"3,773",No,92,5,Decision as of: 12/20/2021,Village,,,1,,,No,,
Nelliston,Montgomery,577,No,3,5,Decision as of: 9/13/2021,Town,,,1,,,No,,
Palatine,Montgomery,"3,203",Yes,108,5,Correspondence with Village,Village,,,1,,,Yes,,
Palatine Bridge,Montgomery,745,Yes,3,5,Correspondenc with Town,Town,,,1,,,Yes,,
Root,Montgomery,"1,677",Yes,132,5,Correspondence with Town,Town,,,0,,,Yes,,
St. Johnsville,Montgomery,"2,546",Yes,45,5,Decision as of: 12/16/2021,Village,,,1,,,Yes,,
St. Johnsville ,Montgomery,#FIELD!,Yes,#FIELD!,5,Correspondence with Town,Town,,,1,,,Yes,,
Atlantic Beach,Montgomery,"1,907",Yes,3,2,"Decision as of: 9/21/2021—""After a discussion with a 3 to 2 vote, the Village will not opt out of cannbis being sold in the village.""",Village,,,0,,,Yes,,
Baxter Estates,Montgomery,"1,052",No,1,2,Correspondence with Town,Town,,,0,,,No,,
Bayville,Montgomery,"6,744",Yes,4,2,Correspondence with Town,Town,,,0,,,Yes,,
Bellerose,Montgomery,"1,165",Yes,0,2,Correspondence with Village,Village,,,0,,,Yes,,
Brookville,Nassau,"2,939",No,10,2,Decision as of: 5/10/2021,Village,,,0,,,No,,
Cedarhurst ,Nassau,#FIELD!,No,#FIELD!,2,Decision as of: 9/1/2021,Village,,,0,,,No,,
Centre Island,Nassau,410,No,3,2,Decision as of: 9/27/2021,Village,,,0,,,No,,
Cove Neck,Nassau,301,No,4,2,Decision as of: 10/25/2021,Village,,,0,,,No,,
East Hills,Nassau,"7,284",No,6,2,Long Island Press reporting,Village,,,0,,,No,,
East Rockaway,Nassau,"9,844",No,3,2,Decision as of: 12/6/2021,Village,,,0,,,No,,
East Williston,Nassau,"2,562",No,2,2,Long Island Press reporting,Village,,,0,,,No,,
Farmingdale,Nassau,"9,021",No,3,2,Decision as of: 12/20/2021,Village,,,0,,,No,,
Floral Park,Nassau,"15,923",No,4,2,Decision as of: 12/31/2021,Village,,,0,,,No,,
Flower Hill,Nassau,"4,869",No,4,2,Decision as of: 8/5/2021,Village,,,0,,,No,,
Freeport ,Nassau,#FIELD!,No,#FIELD!,2,Decision as of: 10/18/2021,Village,,,0,,,No,,
Garden City,Nassau,"23,272",No,14,2,Public Hearing held: 9/13/2021,Village,,,0,,,No,,
Glen Cove,Nassau,"28,365",No,50,2,Decision as of: 8/10/2021,Village,,,0,,,No,,
Great Neck,Nassau,"10,118",No,4,2,Decision as of: 8/2/2021,Village,,,0,,,No,,
Great Neck Estates,Nassau,"2,871",No,2,2,Decision as of: 8/23/2021,Village,,,0,,,No,,
Great Neck Plaza,Nassau,"7,003",No,1,2,Decision as of: 11/4/2021,Village,,,0,,,No,,
Hempstead ,Nassau,#FIELD!,No,#FIELD!,2,Decision as of: 12/14/2021,City,,,0,,,No,,
Hempstead,Nassau,"59,169",No,10,2,Decision as of: 11/16/2021,Village,,,0,,,No,,
Hewlett Bay Park,Nassau,433,No,1,2,Decision as of: 8/9/2021,Village,,,0,,,No,,
Hewlett Harbor,Nassau,"1,275",No,2,2,Decision as of: 11/16/2021,Village,,,0,,,No,,
Hewlett Neck,Nassau,470,No,1,2,Decision as of: 12/7/2021,Town,,,0,,,No,,
Island Park,Nassau,"4,860",No,1,2,Decision as of: 11/16/2021 ,Village,,,0,,,No,,
Kensington,Nassau,"1,185",No,1,2,Decision as of: 12/20/21,Village,,,0,,,No,,
Kings Point,Nassau,"5,287",No,10,2,L.I. Herald reporting,Village,,,1,,,No,,
Lake Success,Nassau,"3,135",No,5,2,Decision as of: 12/20/2021,Village,,,0,,,No,,
Lattingtown,Nassau,"1,881",No,10,2,Decision as of 12/9/2021,Village,,,0,,,No,,
Laurel Hollow,Nassau,"1,940",No,8,2,Decision as of: 11/10/2021,Village,,,0,,,No,,
Lawrence,Nassau,"6,809",Yes,12,2,Long Island Press reporting,Village,,,0,,,Yes,,
Long Beach ,Nassau,#FIELD!,No,#FIELD!,2,Long Island Press reporting,Village,,,0,,,No,,
Lynbrook,Nassau,"19,493",No,5,2,Decision as of: 10/20/2021,Village,,,0,,,No,,
Malverne,Nassau,"8,514",No,3,2,Long Island Press reporting,Village,,,0,,,No,,
Manorhaven,Nassau,"6,649",No,2,2,Decision as of: 5/6/2021 (initial opt out) and 10/14/2021 (refined opt out),Village,,,0,,,No,,
Massapequa Park,Nassau,"17,109",No,6,2,Decision as of: 12/21/2021,City,,,0,,,No,,
Matinecock,Nassau,847,No,7,2,Decision as of: 5/3/2021,Village,,,0,,,No,,
Mill Neck,Nassau,"1,054",No,8,2,Decision as of: 11/3/2021,Village,,,1,,,No,,
Mineola,Nassau,"19,234",No,5,2,Decision as of: 11/24/2021,Village,,,0,,,No,,
Munsey Park,Nassau,"2,716",No,1,2,Decision as of: 8/23/2021,Village,,,0,,,No,,
Muttontown,Nassau,"3,512",No,16,2,Long Island Press reporting,Village,,,0,,,No,,
New Hyde Park,Nassau,"9,842",Yes,2,2,Correspondence with Village,Village,,,0,,,Yes,,
North Hempstead,Nassau,"237,639",No,179,2,Decision as of: 11/3/2021 ,Village ,,,0,,,No,,
North Hills ,Nassau,#FIELD!,No,#FIELD!,2,Decision as of: 7/14/2021,Village,,,0,,,No,,
Old Brookville,Nassau,"2,020",No,10,2,Decision as of: 11/10/2021,Village,,,0,,,No,,
Old Westbury,Nassau,"4,748",No,22,2,Decision as of: 7/15/2021,Village,,,0,,,No,,
Oyster Bay,Nassau,"301,332",No,439,2,Decision as of: 12/16/2021,Town,,,0,,,No,,
Oyster Bay Cove,Nassau,"2,265",No,11,2,Decision as of: 8/18/2021,Village,,,1,,,No,,
Plandome,Nassau,"1,471",No,1,2,Decision as of: 10/28/2021,Village,,,1,,,No,,
Plandome Heights,Nassau,"1,019",No,1,2,Decision as of: 10/18/2021 ,Village,,,0,,,No,,
Plandome Manor,Nassau,890,No,2,2,Decision as of: 12/7/2021,Town,,,0,,,No,,
Port Washington North,Nassau,"3,209",Yes,1,2,Correspondence with Village,Village,,,0,,,Yes,,
Rockville Centre,Nassau,"26,016",Yes,9,2,Coorespondence with Village,Village,,,0,,,Yes,,
Roslyn Harbor,Nassau,"1,105",No,3,2,Decision as of: 9/13/2021,Village,,,0,,,No,,
Roslyn Estates,Nassau,"1,235",No,1,2,Decision as of: 9/21/2021,Village,,,0,,,No,,
Roslyn Harbor,Nassau,"1,105",No,3,2,Decision as of: 12/14/2021,Village,,,0,,,No,,
Russell Gardens,Nassau,948,No,1,2,Decision as of: 9/13/2021,Village,,,0,,,No,,
Saddle Rock,Nassau,976,No,1,2,Decision as of: 9/21/2021,Village,,,1,,,No,,
Sands Point,Nassau,"2,712",No,15,2,Decision as of: 7/19/2021,Village,,,0,,,No,,
Sea Cliff,Nassau,"5,047",No,3,2,Decision as of: 9/22/2021,Village,,,0,,,No,,
South Floral Park,Nassau,"1,787",No,0,2,Decision as of: 12/2/2021,Village,,,0,,,No,,
Stewart Manor,Nassau,"1,962",Yes ,1,2,Long Island Press reporting,Village,,,0,,,Yes,,
Thomaston,Nassau,"2,621",No,1,2,Long Island Press reporting,Village,,,0,,,No,,
Upper Brookville,Nassau,"1,786",No,11,2,Decision as of: 10/12/2021,Village,,,0,,,No,,
Valley Stream,Nassau,"40,634",No,9,2,Decision as of: 10/7/2021,Village,,,0,,,No,,
Westbury,Nassau,"15,864",No,6,2,Decision as of: 8/3/2021,Village,,,0,,,No,,
Williston Park,Nassau,"7,276",No,2,2,Decision as of: 11/16/2021,Village,,,0,,,No,,
Woodsburgh,Nassau,779,No,1,2,Decision as of: 10/18/2021  ,Village,,,0,,,No,,
Barker,Nassau,"2,614",No,1,2,Decision as of: 12/20/2021,Village,,,1,,,No,,
Cambria,Nassau,"5,759",No,103,2,Decision as of: 10/7/2021,Village,,,0,,,No,,
Hartland,Nassau,"3,998",No,136,2,Decision as of: 8/25/2021,Village,,,0,,,No,,
Lewiston ,Nassau,#FIELD!,No,#FIELD!,2,Correspondence with Village,Village,,,1,,,No,,
Lewiston,Niagara,"15,944",Yes,107,2,Correspondence with Village,Village,,,1,,,Yes,,
Lockport ,Niagara,#FIELD!,No,#FIELD!,2,Decision as of: 11/18/2021,Town,,,1,,,No,,
Lockport ,Niagara,#FIELD!,No,#FIELD!,2,Decision as of: 11/11/2021,Town,,,1,,,No,,
Middleport,Niagara,"1,755",Yes,2,2,Correspondence with Town,Town,,,0,,,Yes,,
Newfane,Niagara,"9,332",Yes,139,2,Correspondence with Village,Village,,,1,,,Yes,,
Niagara-on-the-Lake,Niagara,"17,511",Yes,133,2,Correspondence with City,City,,,0,,,Yes,,
Niagara Falls,Niagara,"48,671",Yes,44,2,Correspondence with Town,Town,,,1,,,Yes,,
North Tonawanda,Niagara,"30,372",No,28,2,Corespondence with Village,Village,,,1,,,No,,
Pendleton,Niagara,"6,790",Yes,71,2,Decision as of: 12/15/2021,Town,,,0,,,Yes,,
Porter,Niagara,"6,544",No,98,2,Decision as of: 11/16/2021,Town,,,1,,,No,,
Royalton,Niagara,"7,511",Yes,182,2,Correspondence with City,City,,,0,,,Yes,,
Somerset,Niagara,"2,558",Yes,96,2,Decision as of: 12/21/2021,City,,,0,,,Yes,,
Wheatfield,Niagara,"18,118",No,74,2,Decision as of: 12/22/2021,Town,,,1,,,No,,
Wilson,Niagara,"5,841",Yes,133,2,Correspondence with Town,Town,,,0,,,Yes,,
Wilson ,Niagara,#FIELD!,No,#FIELD!,2,Decision as of: 10/8/2021,Town,,,1,,,No,,
Youngstown,Niagara,"1,889",No,4,2,Decision as of: 12/8/2021,Town,,,0,,,No,,
Annsville,Niagara,"2,947",Yes,157,3,Decision as of: 12/20/2021,Town,,,1,,,Yes,,
Augusta ,Niagara,#FIELD!,No,#FIELD!,3,Decision as of: 10/20/2021,Town,,,1,,,No,,
Java,Niagara,#FIELD!,Yes,#FIELD!,3,"Decision as of: 9/16/2021—""Motion to opt in was made by Trustee Phil Russell, seconded by Trustee Brad Simpson. All in favor, motion passed.""",Village,,,1,,,Yes,,
Boonville,Niagara,"4,494",No,188,3,Decision as of: 9/9/2021 (on-site consumption only); Readopted: 10/14/2021,Village,,,0,,,No,,
Boonville,Oneida,"2,001",Yes,5,3,Correspondence with Town,Town,,,1,,,Yes,,
Bridgewater,Oneida,"1,492",Yes,62,3,Correspondence with Town,Town,,,0,,,Yes,,
Camden ,Oneida,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,Town,,,1,,,Yes,,
Camden ,Oneida,#FIELD!,No,#FIELD!,3,Decision as of: 12/29/2021,Town,,,0,,,No,,
Clayville,Oneida,339,Yes,1,3,Correspondence with Village,Village,,,0,,,Yes,,
Clinton,Oneida,"4,234",No,2,3,Correspondence with Town,Town,,,0,,,No,,
Deerfield,Oneida,"4,249",Yes,86,3,Correspondence with Town,Town,,,1,,,Yes,,
Florence,Oneida,"1,051",No,142,3,Decision as of: 12/14/2021,Village,,,0,,,No,,
